t,x,u,y,v
1.701264217555069e+01,9.503358400161017e-01,7.329003646871387e-01,3.265674279712749e-02,-2.372524645085965e-01
1.701300957580637e+01,9.506053220091590e-01,7.340682682065079e-01,3.256925478843804e-02,-2.390048006379946e-01
1.701337386083337e+01,9.508729446467730e-01,7.352370638781054e-01,3.248186992306799e-02,-2.407589416290163e-01
1.701373505704608e+01,9.511387204016201e-01,7.364067160182366e-01,3.239459208640626e-02,-2.425149071177073e-01
1.701409319063490e+01,9.514026616530540e-01,7.375771887757875e-01,3.230742508915749e-02,-2.442727162077247e-01
1.701444828756818e+01,9.516647806879726e-01,7.387484461336145e-01,3.222037266858915e-02,-2.460323874684746e-01
1.701480037359405e+01,9.519250897016748e-01,7.399204519100008e-01,3.213343848975756e-02,-2.477939389332461e-01
1.701514947424234e+01,9.521836007987102e-01,7.410931697601807e-01,3.204662614671322e-02,-2.495573880973403e-01
1.701549561482642e+01,9.524403259937186e-01,7.422665631779304e-01,3.195993916368581e-02,-2.513227519161991e-01
1.701583882044500e+01,9.526952772122618e-01,7.434405954972267e-01,3.187338099624910e-02,-2.530900468035310e-01
1.701617911598400e+01,9.529484662916461e-01,7.446152298939732e-01,3.178695503246626e-02,-2.548592886294401e-01
1.701651652611831e+01,9.531999049817375e-01,7.457904293877942e-01,3.170066459401563e-02,-2.566304927185565e-01
1.701685168138496e+01,9.534500576612079e-01,7.469682963683377e-01,3.161435632525413e-02,-2.584069017050811e-01
1.701718399483187e+01,9.536984807743883e-01,7.481466740800197e-01,3.152818921375816e-02,-2.601853369230479e-01
1.701751290005724e+01,9.539447433544215e-01,7.493234030011563e-01,3.144232109027131e-02,-2.619626061776080e-01
1.701783901645768e+01,9.541893016653130e-01,7.505005479522232e-01,3.135660112734275e-02,-2.637418944654176e-01
1.701816295346501e+01,9.544326073541406e-01,7.516802138542211e-01,3.127087679057358e-02,-2.655264570769162e-01
1.701848414377351e+01,9.546742289822759e-01,7.528602397065592e-01,3.118530580295413e-02,-2.673130985983626e-01
1.701880261067274e+01,9.549141777244354e-01,7.540405874519635e-01,3.109989106317330e-02,-2.691018308893549e-01
1.701911837725481e+01,9.551524646739477e-01,7.552212188905106e-01,3.101463541171148e-02,-2.708926652494148e-01
1.701943146641601e+01,9.553891008434979e-01,7.564020956820003e-01,3.092954163180917e-02,-2.726856124161505e-01
1.701974190085850e+01,9.556240971658654e-01,7.575831793483961e-01,3.084461245041912e-02,-2.744806825634374e-01
1.702004970309194e+01,9.558574644946521e-01,7.587644312763364e-01,3.075985053914213e-02,-2.762778852996176e-01
1.702035489543513e+01,9.560892136050057e-01,7.599458127197138e-01,3.067525851514691e-02,-2.780772296657200e-01
1.702065804821794e+01,9.563197724451299e-01,7.611294343786879e-01,3.059068551157407e-02,-2.798820036565080e-01
1.702095863053373e+01,9.565487321378002e-01,7.623131262066000e-01,3.050628679992815e-02,-2.816889716540520e-01
1.702125720409733e+01,9.567765154681606e-01,7.634990026354070e-01,3.042191178280370e-02,-2.835014349022185e-01
1.702155324602164e+01,9.570027184692750e-01,7.646848890867519e-01,3.033771529428496e-02,-2.853161433119268e-01
1.702184625172675e+01,9.572269486786761e-01,7.658686118551475e-01,3.025385075730384e-02,-2.871298316962761e-01
1.702213729931318e+01,9.574500252074669e-01,7.670544009924126e-01,3.017001800407148e-02,-2.889490482620888e-01
1.702242587907392e+01,9.576715524249599e-01,7.682400813911182e-01,3.008637076312143e-02,-2.907705290833464e-01
1.702271201193396e+01,9.578915405297547e-01,7.694256132008388e-01,3.000291126704642e-02,-2.925942793618825e-01
1.702299571864084e+01,9.581099996478789e-01,7.706109564579692e-01,2.991964170134752e-02,-2.944203037161359e-01
1.702327752937303e+01,9.583273331465426e-01,7.717982270007095e-01,2.983641323405247e-02,-2.962519345895521e-01
1.702355695059986e+01,9.585431555641389e-01,7.729852461503784e-01,2.975337835051272e-02,-2.980858838852092e-01
1.702383450449130e+01,9.587578653898888e-01,7.741741323340906e-01,2.967038857436474e-02,-2.999254977749491e-01
1.702410921177765e+01,9.589706994025284e-01,7.753605646639600e-01,2.958774472004680e-02,-3.017641558481719e-01
1.702438158978957e+01,9.591820518796328e-01,7.765466244350935e-01,2.950530048594641e-02,-3.036051408996510e-01
1.702465165827726e+01,9.593919325375412e-01,7.777322709852887e-01,2.942305779991631e-02,-3.054484543839394e-01
1.702491992193269e+01,9.596007288849191e-01,7.789196194073963e-01,2.934086947576302e-02,-3.072974571636117e-01
1.702518591094998e+01,9.598080705832872e-01,7.801064895945002e-01,2.925888590702675e-02,-3.091488268057568e-01
1.702545012239757e+01,9.600143404456888e-01,7.812949984210927e-01,2.917696031406015e-02,-3.110059380914812e-01
1.702571209356615e+01,9.602191726071905e-01,7.824829632477532e-01,2.909524255349086e-02,-3.128654532436626e-01
1.702597184345132e+01,9.604225764721468e-01,7.836703427912163e-01,2.901373436661160e-02,-3.147273714313702e-01
1.702622939088758e+01,9.606245613793957e-01,7.848570956875914e-01,2.893243745582887e-02,-3.165916912198617e-01
