x,y,numerical,analytical
0.313725,0.117647,0.531018,0.531017
0.333333,0.117647,0.480677,0.480676
0.352941,0.117647,0.428512,0.428511
0.372549,0.117647,0.374722,0.374721
0.392157,0.117647,0.31951,0.31951
0.411765,0.117647,0.263087,0.263086
0.431373,0.117647,0.205665,0.205665
0.45098,0.117647,0.147464,0.147463
0.470588,0.117647,0.0887025,0.0887023
0.490196,0.117647,0.0296049,0.0296049
0.509804,0.117647,-0.0296049,-0.0296049
0.529412,0.117647,-0.0887025,-0.0887023
0.54902,0.117647,-0.147464,-0.147463
0.568627,0.117647,-0.205665,-0.205665
0.588235,0.117647,-0.263087,-0.263086
0.607843,0.117647,-0.31951,-0.31951
0.627451,0.117647,-0.374722,-0.374721
0.647059,0.117647,-0.428512,-0.428511
0.666667,0.117647,-0.480677,-0.480676
0.686275,0.117647,-0.531018,-0.531017
0.705882,0.117647,-0.579345,-0.579343
0.72549,0.117647,-0.625474,-0.625473
0.745098,0.117647,-0.669231,-0.669229
0.764706,0.117647,-0.710449,-0.710447
0.784314,0.117647,-0.748972,-0.74897
0.803922,0.117647,-0.784653,-0.784652
0.823529,0.117647,-0.817359,-0.817357
0.843137,0.117647,-0.846964,-0.846962
0.862745,0.117647,-0.873356,-0.873354
0.882353,0.117647,-0.896435,-0.896433
0.901961,0.117647,-0.916114,-0.916112
0.921569,0.117647,-0.932317,-0.932315
0.941176,0.117647,-0.944984,-0.944982
0.960784,0.117647,-0.954067,-0.954065
0.980392,0.117647,-0.95953,-0.959528
0.0196078,0.137255,0.831612,0.831611
0.0392157,0.137255,0.826878,0.826876
0.0588235,0.137255,0.819006,0.819004
0.0784314,0.137255,0.808028,0.808026
0.0980392,0.137255,0.793984,0.793983
0.117647,0.137255,0.776929,0.776928
0.137255,0.137255,0.756927,0.756925
0.156863,0.137255,0.734053,0.734052
0.176471,0.137255,0.708395,0.708393
0.196078,0.137255,0.680049,0.680048
0.215686,0.137255,0.649124,0.649123
0.235294,0.137255,0.615737,0.615736
0.254902,0.137255,0.580014,0.580013
0.27451,0.137255,0.542091,0.542089
0.294118,0.137255,0.502111,0.50211
0.313725,0.137255,0.460227,0.460226
0.333333,0.137255,0.416596,0.416596
0.352941,0.137255,0.371386,0.371385
0.372549,0.137255,0.324767,0.324766
0.392157,0.137255,0.276916,0.276915
0.411765,0.137255,0.228014,0.228014
0.431373,0.137255,0.178248,0.178247
0.45098,0.137255,0.127805,0.127805
0.470588,0.137255,0.0768773,0.0768772
0.490196,0.137255,0.0256582,0.0256582
0.509804,0.137255,-0.0256582,-0.0256582
0.529412,0.137255,-0.0768773,-0.0768772
0.54902,0.137255,-0.127805,-0.127805
0.568627,0.137255,-0.178248,-0.178247
0.588235,0.137255,-0.228014,-0.228014
0.607843,0.137255,-0.276916,-0.276915
0.627451,0.137255,-0.324767,-0.324766
0.647059,0.137255,-0.371386,-0.371385
0.666667,0.137255,-0.416596,-0.416596
0.686275,0.137255,-0.460227,-0.460226
0.705882,0.137255,-0.502111,-0.50211
0.72549,0.137255,-0.542091,-0.542089
0.745098,0.137255,-0.580014,-0.580013
0.764706,0.137255,-0.615737,-0.615736
0.784314,0.137255,-0.649124,-0.649123
0.803922,0.137255,-0.680049,-0.680048
0.823529,0.137255,-0.708395,-0.708393
0.843137,0.137255,-0.734053,-0.734052
0.862745,0.137255,-0.756927,-0.756925
0.882353,0.137255,-0.776929,-0.776928
0.901961,0.137255,-0.793984,-0.793983
0.921569,0.137255,-0.808028,-0.808026
0.941176,0.137255,-0.819006,-0.819004
0.960784,0.137255,-0.826878,-0.826876
0.980392,0.137255,-0.831612,-0.831611
